drawId,winningNumbers,joker,winners,jackpot,distributed,columns
1,"[32, 4, 29, 7, 16]",16,1,4311968.28,18916978.16,0
2,"[27, 35, 19, 4, 5]",5,0,0.0,39542706.08,0
3,"[13, 40, 17, 12, 36]",2,0,39542706.08,29768138.12,0
4,"[12, 40, 28, 27, 18]",2,0,26361171.24,16826241.12,0
5,"[37, 29, 8, 40, 28]",11,0,237739.4,26639833.16,0
6,"[16, 37, 40, 6, 1]",13,1,26877572.56,10546763.16,0
7,"[42, 31, 38, 23, 17]",6,1,0.0,32359564.12,0
8,"[19, 30, 31, 29, 5]",19,0,0.0,36722775.08,0
9,"[29, 5, 34, 40, 20]",1,0,36722775.08,36053438.12,0
10,"[8, 29, 16, 38, 28]",12,0,29826540.24,12417735.12,0
11,"[12, 7, 24, 3, 31]",12,1,42244275.36,17676831.16,0
12,"[36, 23, 42, 28, 32]",1,0,0.0,32668485.08,0
13,"[33, 9, 3, 8, 21]",2,0,32668485.08,30589445.12,0
14,"[38, 39, 24, 40, 29]",20,0,20308257.24,1119622.12,0
15,"[29, 34, 41, 44, 40]",1,1,21427879.36,2377726.16,0
16,"[30, 23, 22, 18, 35]",8,0,0.0,23742127.08,0
17,"[7, 24, 15, 6, 29]",6,0,23742127.08,21750222.12,0
18,"[38, 15, 41, 25, 12]",16,1,2542676.24,35506123.08,0
19,"[10, 38, 32, 17, 39]",8,0,0.0,9107134.12,0
20,"[6, 5, 29, 22, 8]",7,1,9107134.12,26715187.08,0
21,"[30, 19, 11, 21, 37]",3,0,0.0,41371584.08,0
22,"[24, 16, 37, 40, 20]",17,0,41371584.08,9768768.08,0
23,"[24, 34, 33, 45, 37]",10,0,8190679.2,18560729.12,0
24,"[11, 25, 26, 40, 17]",9,0,26751408.32,4853787.12,0
25,"[10, 12, 27, 19, 7]",17,0,31605195.44,34760436.12,0
26,"[16, 20, 4, 19, 29]",4,0,23415958.6,41333897.12,0
27,"[14, 18, 35, 7, 5]",7,2,21800182.76,15757806.2,0
28,"[30, 11, 35, 13, 33]",4,0,0.0,18922129.08,0
29,"[11, 42, 20, 30, 40]",7,0,18922129.08,2718533.12,0
30,"[26, 8, 34, 27, 15]",19,0,21640662.2,23128360.08,0
31,"[1, 9, 41, 19, 13]",14,0,1819349.32,23612273.12,0
32,"[8, 37, 13, 22, 19]",19,0,25431622.44,4651122.12,0
33,"[4, 8, 2, 13, 6]",9,2,30082744.56,7368503.16,0
34,"[23, 26, 40, 37, 43]",10,0,0.0,14413228.08,0
35,"[26, 18, 34, 36, 38]",11,0,14413228.08,17487406.08,0
36,"[9, 45, 2, 33, 20]",5,0,31900634.16,726451.08,0
37,"[9, 5, 36, 44, 32]",11,1,32627085.24,15186434.12,0
38,"[4, 2, 45, 9, 23]",6,0,0.0,7495712.08,0
39,"[37, 40, 39, 35, 36]",12,2,7495712.08,38749228.08,0
40,"[24, 27, 2, 11, 44]",5,1,0.0,7002702.08,0
41,"[26, 39, 9, 13, 18]",4,0,0.0,24746051.08,0
42,"[7, 28, 37, 34, 43]",18,1,24746051.08,14408918.08,0
